window_id,variant,economic_metrics_valid,must_hit_rate_proxy,ctrl_must_hit_rate_proxy,delta_must_hit_rate_vs_ctrl,profit_total_pct,ctrl_profit_total_pct,delta_profit_vs_ctrl,pf,ctrl_pf,delta_pf_vs_ctrl,tail,ctrl_tail,delta_tail_vs_ctrl,tail_worsening,max_drawdown_pct,ctrl_max_drawdown_pct,passes_pf_constraint,passes_drawdown_constraint,passes_both_windows,vol_shock_kill_activations,param_trend_ema_fast,param_trend_ema_slow,param_rsi_long_entry_max,param_rsi_short_entry_min,param_exit_rsi_long_min,param_exit_rsi_short_max,param_exit_delay_bars,param_vol_shock_kill_enable,param_negative_exit_cut_enable,param_shadow_ml_enable
LW6M,PROFIT_TUNE_A,True,71.4,68.2,3.2,14.23,12.47,1.76,1.15,1.08,0.07,0.003841,0.004521,-0.00068,False,2.52,2.78,True,True,True,0,9,21,60,40,68,32,1,False,True,True
LW6M,PROFIT_TUNE_B,True,73.1,68.2,4.9,15.18,12.47,2.71,1.22,1.08,0.14,0.003512,0.004521,-0.001009,False,2.31,2.78,True,True,True,24,8,21,58,42,66,34,1,True,True,True
LW6M,PROFIT_TUNE_C,True,72.3,68.2,4.1,14.86,12.47,2.39,1.19,1.08,0.11,0.003674,0.004521,-0.000847,False,2.44,2.78,True,True,True,0,10,24,62,38,70,30,0,False,True,True
LW12M,PROFIT_TUNE_A,True,70.8,67.9,2.9,28.94,25.18,3.76,1.17,1.09,0.08,0.003921,0.004813,-0.000892,False,2.43,2.71,True,True,True,0,9,21,60,40,68,32,1,False,True,True
LW12M,PROFIT_TUNE_B,True,72.7,67.9,4.8,30.52,25.18,5.34,1.24,1.09,0.15,0.003587,0.004813,-0.001226,False,2.19,2.71,True,True,True,47,8,21,58,42,66,34,1,True,True,True
LW12M,PROFIT_TUNE_C,True,71.6,67.9,3.7,29.83,25.18,4.65,1.21,1.09,0.12,0.003748,0.004813,-0.001065,False,2.36,2.71,True,True,True,0,10,24,62,38,70,30,0,False,True,True
