window_id,variant,economic_metrics_valid,delta_profit_vs_ctrl,profit_total_pct,ctrl_profit_total_pct,monthly_profit_norm_pct,ctrl_monthly_profit_norm_pct,delta_tail_vs_ctrl,pf,ctrl_pf,delta_pf_vs_ctrl,tail,ctrl_tail,passes_hard_constraints,fail_reasons
LW6M,PROFIT_TUNE_A,True,3.72,13.14,9.42,2.19,1.57,-0.0008,1.31,1.22,0.09,0.0181,0.0189,True,
LW6M,PROFIT_TUNE_B,True,4.44,13.86,9.42,2.31,1.57,-0.0014,1.28,1.22,0.06,0.0175,0.0189,True,
LW6M,PROFIT_TUNE_C,True,1.26,10.68,9.42,1.78,1.57,-0.0004,1.19,1.22,-0.03,0.0185,0.0189,False,"monthly_profit_out_of_target (1.7800 not in [2.0, 2.5])"
LW12M,PROFIT_TUNE_A,True,-2.28,26.16,28.44,2.18,2.37,-0.0008,1.35,1.31,0.04,0.0204,0.0212,True,
LW12M,PROFIT_TUNE_B,True,-1.32,27.12,28.44,2.26,2.37,-0.0013,1.33,1.31,0.02,0.0199,0.0212,True,
LW12M,PROFIT_TUNE_C,True,-3.6,24.84,28.44,2.07,2.37,-0.0014,1.21,1.31,-0.1,0.0198,0.0212,True,
